====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                     0.09630470973        0.3103300013        0.2694103997     5.299779587e+13        0.1256362234         53.99102949
type:P                      0.4971382621        0.7050803232        0.6106757534     3.792251846e+14       0.01652284229         60.78311279
type:G                       1.201330769         1.096052357        0.9002092048     5.744464393e+14       0.02841138309         63.44710353
type:C                       5.849654893         2.418605981         1.789217398     9.241595765e+14         0.473785069         67.44451901
type:L                       1.554791965         1.246912974         1.110036182     6.364416397e+14        0.1550608945          51.3420758
type:W                        1.46159579         1.208964759         1.045897805         1.485242779        0.8399453405          19.4917273
name:P1                    0.04596153024         0.214386404        0.1797054873       1.9349465e+14       -0.1722061469         68.39277155
name:P2                     0.0510398123        0.2259199245        0.1770904742     1.075315972e+14       -0.2786207098         68.93483691
name:L1                    0.04010604587        0.2002649392        0.1616862451     2.024303901e+14    -0.0004659646818         64.95642558
name:G1                    0.04615440221        0.2148357564        0.1836075882     2.055780802e+14      -0.09792294326         70.98768689
name:G2                    0.04248714488        0.2061241007        0.1698931635     1.758474042e+14      -0.04111407025         68.22292723
name:G3                     0.0443404656        0.2105717588        0.1735171479     2.075709633e+14      -0.03526802459         68.75973699
name:L2                    0.04748574589        0.2179122436        0.1821745383     1.366204023e+14       -0.1360694516         69.87882425
name:C1                    0.03266491843        0.1807343864        0.1405218781     1.942374264e+14        0.1964040862         62.70383899
name:C2                    0.03113811782        0.1764599609        0.1387162384     1.599856247e+14        0.3895136622         62.05044115
name:C3                    0.03511063887        0.1873783308        0.1449667591     2.298738753e+14        0.2259641553         59.63185934
name:C4                    0.03716521235        0.1927828113        0.1426464214     2.124536669e+14         0.389663485         54.82393488
name:C5                     0.0720262358        0.2683770404        0.1673014019     1.310762072e+14        0.1732773748         51.66640446
name:C6                    0.03405171243        0.1845310609        0.1372205449     2.302606796e+14        0.2738781133         56.50591324
name:C7                    0.04435273303        0.2106008856        0.1511986452     1.890407946e+14        0.3721674659         56.10388829
name:C8                    0.08589285894         0.293074835        0.1875395366     1.941365209e+14        0.1408487093         59.04660369
name:L3                    0.04108107917        0.2026846792        0.1685410443     1.709647006e+14       0.02106769514         69.80628706
name:G4                    0.03946164445        0.1986495519        0.1589269461      2.37708064e+14       0.09672398472         64.77694275
name:G5                    0.05187649486        0.2277641211        0.1808910382     1.541583338e+14       -0.1785685073         68.83158221
name:G6                    0.04282062189        0.2069314425        0.1587415313     1.549655775e+14       0.06547129503         60.57038392
name:C9                    0.02945742769        0.1716316628        0.1245636352     1.134625966e+14        0.3824369378         52.24584629
name:C10                    0.0348070605        0.1865665042        0.1273493124     9.935545114e+13        0.4344097964         48.53900321
name:C11                   0.08622953207        0.2936486541         0.182424267     1.127058056e+13       0.01794047085         53.11774391
name:C12                   0.02679391531        0.1636884703         0.117761436       1.5941663e+14         0.463398161         54.08136543
name:C13                   0.05180875876        0.2276153746        0.1470823226     7.436733235e+13        0.3268011601         54.00729585
name:C14                    0.1099640497        0.3316082775        0.2043630285     5.198033237e+13      -0.04081099533         58.21860808
name:L4                    0.04333757127        0.2081767789        0.1801714682     1.947167274e+14      -0.02395727774          69.8686615
name:P3                    0.04553009448         0.213377821        0.1872617807     2.173251588e+14        -0.102434399         70.78589822
name:L5                    0.04359712061        0.2087992352        0.1800931572     2.267430028e+14      -0.05915336307         69.04699575
name:L6                    0.03760327093        0.1939156284        0.1639513733      1.94172959e+14       0.02515923354         64.30533002
name:P4                    0.03162957432        0.1778470532         0.147895075      1.38389051e+14        0.1759810712         62.77511582
name:L7                    0.02480075158        0.1574825437        0.1336997519     9.401026409e+13        0.2280242364         57.66363885
name:L8                    0.02337572093        0.1528912062        0.1298196405     1.155647939e+14        0.2674955943         55.92316799
name:L9                    0.02186802379        0.1478784088        0.1250856984     9.226403886e+13        0.2587203409         51.84232854
name:N                     0.09630470973        0.3103300013        0.2694103997     5.299779587e+13        0.1256362234         53.99102949
name:W                        1.46159579         1.208964759         1.045897805         1.485242779        0.8399453405          19.4917273
lipid:lre                    31.76543635         5.636083423         5.128301977     2.309581887e+16                   0                 100
solvent                       1.46159579         1.208964759         1.045897805         1.485242779        0.8399453405          19.4917273
all                          3.851118396          1.96242666         1.668503063        0.1542129394       -0.0661011018         7.928315821
ions                       0.09630470973        0.3103300013        0.2694103997     5.299779587e+13        0.1256362234         53.99102949
total                        1.776802731         1.164324399        0.9542411237     4.278784393e+14        0.2732269588         52.74992798
============================================================================================================================================
